processid_,type_,startdate_,enddate_,seqnumber,grapeid,employeeid,batchnumber_
1,1,2024-02-02,2024-02-04,1,3,39,228
2,2,2024-02-07,2024-02-09,2,9,16,228
3,3,2024-02-12,2024-02-14,3,1,22,228
4,4,2024-02-17,2024-02-20,4,1,41,228
5,1,2024-02-15,2024-02-18,1,8,46,289
6,2,2024-02-20,2024-02-23,2,3,12,289
7,3,2024-02-25,2024-02-28,3,2,10,289
8,4,2024-03-01,2024-03-03,4,1,39,289
9,1,2024-02-12,2024-02-13,1,10,38,202
10,2,2024-02-17,2024-02-19,2,2,18,202
11,3,2024-02-22,2024-02-25,3,7,3,202
12,4,2024-02-27,2024-03-01,4,9,23,202
13,1,2024-01-31,2024-02-02,1,8,1,226
14,2,2024-02-05,2024-02-07,2,7,17,226
15,3,2024-02-10,2024-02-13,3,7,17,226
16,4,2024-02-15,2024-02-17,4,3,33,226
17,1,2024-01-02,2024-01-03,1,8,24,399
18,2,2024-01-07,2024-01-09,2,7,1,399
19,3,2024-01-12,2024-01-14,3,1,13,399
20,4,2024-01-17,2024-01-19,4,8,14,399
21,1,2024-03-14,2024-03-17,1,5,16,68
22,2,2024-03-19,2024-03-22,2,8,37,68
23,3,2024-03-24,2024-03-25,3,8,34,68
24,4,2024-03-29,2024-03-30,4,5,3,68
25,1,2024-01-29,2024-01-31,1,1,20,15
26,2,2024-02-03,2024-02-04,2,1,6,15
27,3,2024-02-08,2024-02-09,3,2,33,15
28,4,2024-02-13,2024-02-16,4,6,28,15
29,1,2024-01-29,2024-01-31,1,8,44,221
30,2,2024-02-03,2024-02-04,2,7,3,221
31,3,2024-02-08,2024-02-09,3,10,45,221
32,4,2024-02-13,2024-02-15,4,4,10,221
33,1,2024-03-14,2024-03-17,1,10,6,50
34,2,2024-03-19,2024-03-22,2,7,7,50
35,3,2024-03-24,2024-03-25,3,10,38,50
36,4,2024-03-29,2024-03-30,4,9,42,50
37,1,2024-03-02,2024-03-05,1,7,10,206
38,2,2024-03-07,2024-03-10,2,5,9,206
39,3,2024-03-12,2024-03-14,3,10,18,206
40,4,2024-03-17,2024-03-18,4,9,49,206
41,1,2024-03-10,2024-03-11,1,2,49,146
42,2,2024-03-15,2024-03-16,2,3,44,146
43,3,2024-03-20,2024-03-21,3,3,42,146
44,4,2024-03-25,2024-03-28,4,9,28,146
45,1,2024-04-06,2024-04-07,1,6,41,260
46,2,2024-04-11,2024-04-14,2,6,35,260
47,3,2024-04-16,2024-04-17,3,10,22,260
48,4,2024-04-21,2024-04-24,4,2,37,260
49,1,2024-03-28,2024-03-31,1,10,11,88
50,2,2024-04-02,2024-04-05,2,9,36,88
51,3,2024-04-07,2024-04-10,3,4,5,88
52,4,2024-04-12,2024-04-13,4,10,14,88
53,1,2024-02-27,2024-02-28,1,10,3,126
54,2,2024-03-03,2024-03-04,2,9,50,126
55,3,2024-03-08,2024-03-09,3,10,19,126
56,4,2024-03-13,2024-03-14,4,7,33,126
57,1,2024-02-03,2024-02-04,1,1,7,20
58,2,2024-02-08,2024-02-09,2,8,45,20
59,3,2024-02-13,2024-02-15,3,6,21,20
60,4,2024-02-18,2024-02-20,4,3,35,20
61,1,2024-02-22,2024-02-23,1,5,9,207
62,2,2024-02-27,2024-02-28,2,3,41,207
63,3,2024-03-03,2024-03-05,3,8,50,207
64,4,2024-03-08,2024-03-10,4,9,28,207
65,1,2024-01-31,2024-02-02,1,10,46,296
66,2,2024-02-05,2024-02-06,2,10,14,296
67,3,2024-02-10,2024-02-12,3,7,16,296
68,4,2024-02-15,2024-02-18,4,7,39,296
69,1,2024-03-14,2024-03-16,1,5,34,53
70,2,2024-03-19,2024-03-20,2,10,2,53
71,3,2024-03-24,2024-03-27,3,1,50,53
72,4,2024-03-29,2024-04-01,4,2,37,53
73,1,2024-03-22,2024-03-24,1,3,20,132
74,2,2024-03-27,2024-03-28,2,2,2,132
75,3,2024-04-01,2024-04-04,3,8,37,132
76,4,2024-04-06,2024-04-09,4,5,2,132
77,1,2024-01-14,2024-01-16,1,6,16,254
78,2,2024-01-19,2024-01-21,2,1,29,254
79,3,2024-01-24,2024-01-27,3,2,3,254
80,4,2024-01-29,2024-01-31,4,5,32,254
81,1,2024-03-28,2024-03-31,1,9,24,397
82,2,2024-04-02,2024-04-03,2,4,19,397
83,3,2024-04-07,2024-04-08,3,4,43,397
84,4,2024-04-12,2024-04-15,4,5,38,397
85,1,2024-02-26,2024-02-27,1,5,3,234
86,2,2024-03-02,2024-03-05,2,9,20,234
87,3,2024-03-07,2024-03-08,3,7,49,234
88,4,2024-03-12,2024-03-13,4,5,19,234
89,1,2024-01-29,2024-01-31,1,7,7,374
90,2,2024-02-03,2024-02-06,2,1,35,374
91,3,2024-02-08,2024-02-10,3,3,14,374
92,4,2024-02-13,2024-02-14,4,10,22,374
93,1,2024-01-20,2024-01-22,1,4,3,86
94,2,2024-01-25,2024-01-27,2,6,27,86
95,3,2024-01-30,2024-02-02,3,4,42,86
96,4,2024-02-04,2024-02-06,4,9,18,86
97,1,2024-03-15,2024-03-18,1,8,17,140
98,2,2024-03-20,2024-03-21,2,6,45,140
99,3,2024-03-25,2024-03-27,3,2,20,140
100,4,2024-03-30,2024-03-31,4,5,28,140
101,1,2024-02-04,2024-02-07,1,4,31,63
102,2,2024-02-09,2024-02-10,2,9,25,63
103,3,2024-02-14,2024-02-15,3,2,7,63
104,4,2024-02-19,2024-02-22,4,10,30,63
105,1,2024-02-05,2024-02-06,1,4,41,202
106,2,2024-02-10,2024-02-12,2,10,11,202
107,3,2024-02-15,2024-02-18,3,6,40,202
108,4,2024-02-20,2024-02-21,4,8,33,202
109,1,2024-02-22,2024-02-25,1,1,34,181
110,2,2024-02-27,2024-02-29,2,3,38,181
111,3,2024-03-03,2024-03-05,3,8,19,181
112,4,2024-03-08,2024-03-11,4,7,7,181
113,1,2024-03-20,2024-03-23,1,7,12,21
114,2,2024-03-25,2024-03-28,2,10,6,21
115,3,2024-03-30,2024-04-01,3,7,3,21
116,4,2024-04-04,2024-04-05,4,7,20,21
117,1,2024-03-23,2024-03-25,1,7,15,85
118,2,2024-03-28,2024-03-29,2,4,5,85
119,3,2024-04-02,2024-04-05,3,10,5,85
120,4,2024-04-07,2024-04-10,4,2,1,85
121,1,2024-03-11,2024-03-14,1,8,4,317
122,2,2024-03-16,2024-03-19,2,10,7,317
123,3,2024-03-21,2024-03-22,3,6,41,317
124,4,2024-03-26,2024-03-27,4,1,14,317
125,1,2024-03-28,2024-03-29,1,3,2,242
126,2,2024-04-02,2024-04-03,2,8,13,242
127,3,2024-04-07,2024-04-09,3,3,41,242
128,4,2024-04-12,2024-04-14,4,4,43,242
129,1,2024-04-09,2024-04-10,1,1,15,67
130,2,2024-04-14,2024-04-17,2,2,1,67
131,3,2024-04-19,2024-04-20,3,4,43,67
132,4,2024-04-24,2024-04-26,4,7,43,67
133,1,2024-01-27,2024-01-30,1,5,42,260
134,2,2024-02-01,2024-02-03,2,6,13,260
135,3,2024-02-06,2024-02-09,3,7,44,260
136,4,2024-02-11,2024-02-12,4,4,22,260
137,1,2024-04-04,2024-04-05,1,10,1,158
138,2,2024-04-09,2024-04-10,2,1,50,158
139,3,2024-04-14,2024-04-15,3,1,13,158
140,4,2024-04-19,2024-04-21,4,1,15,158
141,1,2024-01-16,2024-01-17,1,2,19,390
142,2,2024-01-21,2024-01-22,2,6,10,390
143,3,2024-01-26,2024-01-29,3,6,29,390
144,4,2024-01-31,2024-02-02,4,5,10,390
145,1,2024-01-06,2024-01-08,1,4,33,345
146,2,2024-01-11,2024-01-13,2,3,46,345
147,3,2024-01-16,2024-01-18,3,10,32,345
148,4,2024-01-21,2024-01-22,4,5,8,345
149,1,2024-03-28,2024-03-31,1,8,38,103
150,2,2024-04-02,2024-04-03,2,5,32,103
151,3,2024-04-07,2024-04-08,3,5,21,103
152,4,2024-04-12,2024-04-14,4,6,14,103
153,1,2024-03-31,2024-04-01,1,9,6,366
154,2,2024-04-05,2024-04-07,2,9,17,366
155,3,2024-04-10,2024-04-13,3,6,22,366
156,4,2024-04-15,2024-04-17,4,8,16,366
157,1,2024-03-05,2024-03-06,1,2,44,383
158,2,2024-03-10,2024-03-13,2,8,50,383
159,3,2024-03-15,2024-03-16,3,8,41,383
160,4,2024-03-20,2024-03-23,4,6,34,383
161,1,2024-04-10,2024-04-12,1,9,50,85
162,2,2024-04-15,2024-04-16,2,5,7,85
163,3,2024-04-20,2024-04-22,3,4,15,85
164,4,2024-04-25,2024-04-27,4,1,27,85
165,1,2024-02-06,2024-02-08,1,2,42,267
166,2,2024-02-11,2024-02-12,2,1,48,267
167,3,2024-02-16,2024-02-18,3,1,4,267
168,4,2024-02-21,2024-02-24,4,4,25,267
169,1,2024-03-18,2024-03-21,1,4,36,215
170,2,2024-03-23,2024-03-24,2,8,16,215
171,3,2024-03-28,2024-03-30,3,4,14,215
172,4,2024-04-02,2024-04-05,4,10,11,215
173,1,2024-01-06,2024-01-07,1,7,49,270
174,2,2024-01-11,2024-01-13,2,7,28,270
175,3,2024-01-16,2024-01-17,3,1,46,270
176,4,2024-01-21,2024-01-23,4,7,6,270
177,1,2024-04-07,2024-04-09,1,1,19,319
178,2,2024-04-12,2024-04-14,2,1,28,319
179,3,2024-04-17,2024-04-19,3,9,22,319
180,4,2024-04-22,2024-04-24,4,9,29,319
181,1,2024-01-06,2024-01-08,1,10,45,325
182,2,2024-01-11,2024-01-12,2,2,25,325
183,3,2024-01-16,2024-01-18,3,8,10,325
184,4,2024-01-21,2024-01-23,4,7,28,325
185,1,2024-04-05,2024-04-07,1,10,41,363
186,2,2024-04-10,2024-04-11,2,5,50,363
187,3,2024-04-15,2024-04-16,3,8,16,363
188,4,2024-04-20,2024-04-23,4,8,25,363
189,1,2024-03-03,2024-03-06,1,3,22,342
190,2,2024-03-08,2024-03-11,2,2,13,342
191,3,2024-03-13,2024-03-14,3,10,46,342
192,4,2024-03-18,2024-03-20,4,9,31,342
193,1,2024-02-13,2024-02-15,1,10,14,373
194,2,2024-02-18,2024-02-21,2,7,42,373
195,3,2024-02-23,2024-02-24,3,9,50,373
196,4,2024-02-28,2024-02-29,4,4,34,373
197,1,2024-02-09,2024-02-12,1,10,44,202
198,2,2024-02-14,2024-02-16,2,4,44,202
199,3,2024-02-19,2024-02-21,3,10,6,202
200,4,2024-02-24,2024-02-25,4,8,11,202
201,1,2024-02-01,2024-02-03,1,3,28,190
202,2,2024-02-06,2024-02-07,2,1,36,190
203,3,2024-02-11,2024-02-14,3,4,7,190
204,4,2024-02-16,2024-02-18,4,2,13,190
205,1,2024-03-10,2024-03-11,1,2,34,381
206,2,2024-03-15,2024-03-16,2,5,45,381
207,3,2024-03-20,2024-03-23,3,3,16,381
208,4,2024-03-25,2024-03-27,4,5,31,381
209,1,2024-01-31,2024-02-01,1,8,5,100
210,2,2024-02-05,2024-02-08,2,8,32,100
211,3,2024-02-10,2024-02-13,3,10,1,100
212,4,2024-02-15,2024-02-17,4,5,28,100
213,1,2024-03-10,2024-03-12,1,9,42,230
214,2,2024-03-15,2024-03-17,2,8,39,230
215,3,2024-03-20,2024-03-23,3,1,17,230
216,4,2024-03-25,2024-03-27,4,9,48,230
217,1,2024-03-12,2024-03-15,1,4,38,163
218,2,2024-03-17,2024-03-19,2,9,21,163
219,3,2024-03-22,2024-03-23,3,5,25,163
220,4,2024-03-27,2024-03-30,4,5,7,163
221,1,2024-02-17,2024-02-20,1,1,47,89
222,2,2024-02-22,2024-02-25,2,6,47,89
223,3,2024-02-27,2024-02-29,3,3,39,89
224,4,2024-03-03,2024-03-04,4,8,11,89
225,1,2024-01-24,2024-01-25,1,4,5,206
226,2,2024-01-29,2024-02-01,2,8,13,206
227,3,2024-02-03,2024-02-04,3,2,2,206
228,4,2024-02-08,2024-02-09,4,3,50,206
229,1,2024-03-01,2024-03-03,1,3,28,172
230,2,2024-03-06,2024-03-09,2,9,30,172
231,3,2024-03-11,2024-03-14,3,5,8,172
232,4,2024-03-16,2024-03-19,4,4,41,172
233,1,2024-01-29,2024-02-01,1,3,13,220
234,2,2024-02-03,2024-02-04,2,1,18,220
235,3,2024-02-08,2024-02-10,3,7,47,220
236,4,2024-02-13,2024-02-16,4,2,10,220
237,1,2024-01-02,2024-01-04,1,4,38,99
238,2,2024-01-07,2024-01-08,2,6,32,99
239,3,2024-01-12,2024-01-13,3,7,26,99
240,4,2024-01-17,2024-01-19,4,9,36,99
241,1,2024-02-19,2024-02-22,1,8,41,249
242,2,2024-02-24,2024-02-25,2,1,14,249
243,3,2024-02-29,2024-03-03,3,4,9,249
244,4,2024-03-05,2024-03-06,4,8,18,249
245,1,2024-02-27,2024-02-29,1,6,17,277
246,2,2024-03-03,2024-03-04,2,6,15,277
247,3,2024-03-08,2024-03-09,3,3,17,277
248,4,2024-03-13,2024-03-14,4,3,11,277
249,1,2024-02-18,2024-02-21,1,4,42,239
250,2,2024-02-23,2024-02-26,2,6,33,239
251,3,2024-02-28,2024-03-02,3,3,28,239
252,4,2024-03-04,2024-03-07,4,5,42,239
253,1,2024-03-05,2024-03-08,1,5,3,124
254,2,2024-03-10,2024-03-13,2,1,19,124
255,3,2024-03-15,2024-03-16,3,10,19,124
256,4,2024-03-20,2024-03-21,4,6,6,124
257,1,2024-01-04,2024-01-06,1,3,28,126
258,2,2024-01-09,2024-01-10,2,10,33,126
259,3,2024-01-14,2024-01-15,3,1,36,126
260,4,2024-01-19,2024-01-22,4,2,33,126
261,1,2024-01-03,2024-01-04,1,2,4,328
262,2,2024-01-08,2024-01-11,2,4,13,328
263,3,2024-01-13,2024-01-14,3,6,30,328
264,4,2024-01-18,2024-01-20,4,6,5,328
265,1,2024-02-03,2024-02-04,1,8,41,221
266,2,2024-02-08,2024-02-09,2,3,37,221
267,3,2024-02-13,2024-02-14,3,2,39,221
268,4,2024-02-18,2024-02-20,4,7,8,221
269,1,2024-03-09,2024-03-11,1,8,37,242
270,2,2024-03-14,2024-03-16,2,9,37,242
271,3,2024-03-19,2024-03-20,3,1,24,242
272,4,2024-03-24,2024-03-25,4,6,21,242
273,1,2024-01-08,2024-01-11,1,5,33,186
274,2,2024-01-13,2024-01-16,2,2,44,186
275,3,2024-01-18,2024-01-20,3,5,43,186
276,4,2024-01-23,2024-01-24,4,10,6,186
277,1,2024-01-13,2024-01-16,1,10,1,205
278,2,2024-01-18,2024-01-19,2,2,48,205
279,3,2024-01-23,2024-01-25,3,2,42,205
280,4,2024-01-28,2024-01-31,4,6,10,205
281,1,2024-01-12,2024-01-13,1,3,40,400
282,2,2024-01-17,2024-01-18,2,1,44,400
283,3,2024-01-22,2024-01-25,3,7,26,400
284,4,2024-01-27,2024-01-29,4,3,29,400
285,1,2024-02-24,2024-02-26,1,1,6,13
286,2,2024-02-29,2024-03-03,2,2,25,13
287,3,2024-03-05,2024-03-07,3,7,35,13
288,4,2024-03-10,2024-03-13,4,10,3,13
289,1,2024-04-03,2024-04-06,1,8,49,84
290,2,2024-04-08,2024-04-09,2,6,50,84
291,3,2024-04-13,2024-04-16,3,1,47,84
292,4,2024-04-18,2024-04-19,4,7,47,84
293,1,2024-03-28,2024-03-29,1,5,47,233
294,2,2024-04-02,2024-04-05,2,3,48,233
295,3,2024-04-07,2024-04-08,3,9,2,233
296,4,2024-04-12,2024-04-14,4,7,25,233
297,1,2024-01-08,2024-01-09,1,2,35,331
298,2,2024-01-13,2024-01-16,2,5,43,331
299,3,2024-01-18,2024-01-21,3,4,28,331
300,4,2024-01-23,2024-01-25,4,3,25,331
301,1,2024-04-04,2024-04-05,1,1,17,89
302,2,2024-04-09,2024-04-12,2,1,15,89
303,3,2024-04-14,2024-04-17,3,6,34,89
304,4,2024-04-19,2024-04-21,4,4,49,89
305,1,2024-01-11,2024-01-12,1,4,30,111
306,2,2024-01-16,2024-01-19,2,3,46,111
307,3,2024-01-21,2024-01-23,3,9,6,111
308,4,2024-01-26,2024-01-29,4,6,41,111
309,1,2024-02-23,2024-02-25,1,3,36,33
310,2,2024-02-28,2024-03-02,2,3,34,33
311,3,2024-03-04,2024-03-07,3,9,31,33
312,4,2024-03-09,2024-03-12,4,8,36,33
313,1,2024-02-26,2024-02-28,1,8,13,22
314,2,2024-03-02,2024-03-04,2,10,12,22
315,3,2024-03-07,2024-03-08,3,1,4,22
316,4,2024-03-12,2024-03-15,4,2,44,22
317,1,2024-01-30,2024-02-01,1,4,25,90
318,2,2024-02-04,2024-02-07,2,8,25,90
319,3,2024-02-09,2024-02-12,3,5,33,90
320,4,2024-02-14,2024-02-15,4,9,50,90
321,1,2024-03-01,2024-03-04,1,9,24,383
322,2,2024-03-06,2024-03-09,2,1,26,383
323,3,2024-03-11,2024-03-14,3,8,32,383
324,4,2024-03-16,2024-03-18,4,9,24,383
325,1,2024-02-24,2024-02-25,1,10,30,397
326,2,2024-02-29,2024-03-03,2,6,31,397
327,3,2024-03-05,2024-03-06,3,4,29,397
328,4,2024-03-10,2024-03-13,4,9,8,397
329,1,2024-01-06,2024-01-09,1,10,6,8
330,2,2024-01-11,2024-01-14,2,3,45,8
331,3,2024-01-16,2024-01-17,3,1,41,8
332,4,2024-01-21,2024-01-24,4,9,40,8
333,1,2024-01-24,2024-01-27,1,10,6,280
334,2,2024-01-29,2024-01-30,2,10,27,280
335,3,2024-02-03,2024-02-04,3,10,26,280
336,4,2024-02-08,2024-02-09,4,6,23,280
337,1,2024-03-30,2024-04-02,1,2,43,287
338,2,2024-04-04,2024-04-07,2,5,26,287
339,3,2024-04-09,2024-04-11,3,6,42,287
340,4,2024-04-14,2024-04-17,4,6,14,287
341,1,2024-01-25,2024-01-26,1,8,26,219
342,2,2024-01-30,2024-02-02,2,7,30,219
343,3,2024-02-04,2024-02-07,3,8,4,219
344,4,2024-02-09,2024-02-12,4,9,25,219
345,1,2024-01-01,2024-01-02,1,1,32,366
346,2,2024-01-06,2024-01-07,2,6,4,366
347,3,2024-01-11,2024-01-13,3,8,35,366
348,4,2024-01-16,2024-01-18,4,2,39,366
349,1,2024-02-05,2024-02-08,1,9,4,162
350,2,2024-02-10,2024-02-11,2,5,20,162
351,3,2024-02-15,2024-02-18,3,8,9,162
352,4,2024-02-20,2024-02-22,4,9,2,162
353,1,2024-03-26,2024-03-28,1,5,9,301
354,2,2024-03-31,2024-04-02,2,10,5,301
355,3,2024-04-05,2024-04-06,3,1,48,301
356,4,2024-04-10,2024-04-13,4,6,31,301
357,1,2024-01-09,2024-01-12,1,3,28,44
358,2,2024-01-14,2024-01-16,2,8,2,44
359,3,2024-01-19,2024-01-22,3,9,20,44
360,4,2024-01-24,2024-01-25,4,1,1,44
361,1,2024-01-01,2024-01-03,1,4,24,236
362,2,2024-01-06,2024-01-09,2,7,40,236
363,3,2024-01-11,2024-01-14,3,5,16,236
364,4,2024-01-16,2024-01-18,4,9,40,236
365,1,2024-04-03,2024-04-04,1,3,2,235
366,2,2024-04-08,2024-04-09,2,9,26,235
367,3,2024-04-13,2024-04-15,3,1,26,235
368,4,2024-04-18,2024-04-21,4,1,12,235
369,1,2024-03-09,2024-03-11,1,4,17,30
370,2,2024-03-14,2024-03-15,2,5,24,30
371,3,2024-03-19,2024-03-22,3,4,1,30
372,4,2024-03-24,2024-03-27,4,7,42,30
373,1,2024-02-16,2024-02-17,1,6,32,140
374,2,2024-02-21,2024-02-23,2,9,5,140
375,3,2024-02-26,2024-02-27,3,10,29,140
376,4,2024-03-02,2024-03-03,4,6,49,140
377,1,2024-04-06,2024-04-08,1,10,5,70
378,2,2024-04-11,2024-04-13,2,7,6,70
379,3,2024-04-16,2024-04-19,3,1,19,70
380,4,2024-04-21,2024-04-24,4,10,29,70
381,1,2024-02-12,2024-02-13,1,1,36,389
382,2,2024-02-17,2024-02-18,2,5,28,389
383,3,2024-02-22,2024-02-24,3,4,27,389
384,4,2024-02-27,2024-02-28,4,6,14,389
385,1,2024-03-19,2024-03-21,1,2,27,266
386,2,2024-03-24,2024-03-27,2,6,9,266
387,3,2024-03-29,2024-03-30,3,5,36,266
388,4,2024-04-03,2024-04-05,4,5,30,266
389,1,2024-03-03,2024-03-05,1,6,17,326
390,2,2024-03-08,2024-03-11,2,5,13,326
391,3,2024-03-13,2024-03-15,3,4,29,326
392,4,2024-03-18,2024-03-20,4,10,43,326
393,1,2024-04-10,2024-04-12,1,10,18,360
394,2,2024-04-15,2024-04-18,2,7,23,360
395,3,2024-04-20,2024-04-23,3,8,41,360
396,4,2024-04-25,2024-04-28,4,8,9,360
397,1,2024-02-27,2024-02-28,1,10,5,86
398,2,2024-03-03,2024-03-04,2,4,17,86
399,3,2024-03-08,2024-03-10,3,2,4,86
400,4,2024-03-13,2024-03-14,4,8,45,86
